VD_NO,Date,Density,Flow,Speed,Time,Plane/Elevated,#lane
V0UVS20_0.npy,2015/1/1,50,19,20.11,18:10:00,P,1
V0UVS20_0.npy,2015/1/1,56.2,21,22.76,18:15:00,P,1
V0UVS20_0.npy,2015/1/1,48.2,21,22.86,18:20:00,P,1
V0UVS20_0.npy,2015/1/1,46.8,18,23.72,18:25:00,P,1
V0UVS20_0.npy,2015/1/1,51.2,18,24.06,18:30:00,P,1
V0UVS20_0.npy,2015/1/1,51,20,22.4,18:35:00,P,1
V0UVS20_1.npy,2015/1/1,57.4,26,21.35,18:10:00,P,1
V0UVS20_1.npy,2015/1/1,52.2,25,23.04,18:15:00,P,1
V0UVS20_1.npy,2015/1/1,51.8,25,20.96,18:20:00,P,1
V0UVS20_1.npy,2015/1/1,47,27,21.78,18:25:00,P,1
V0UVS20_1.npy,2015/1/1,52.4,27,21.19,18:30:00,P,1
V0UVS20_1.npy,2015/1/1,48.4,25,23.6,18:35:00,P,1
V1CPB00_0.npy,2015/1/1,50.8,105,26.47,18:10:00,P,1
V1CPB00_0.npy,2015/1/1,43.6,100,24.81,18:15:00,P,1
V1CPB00_0.npy,2015/1/1,49.2,110,25.46,18:20:00,P,1
V1CPB00_0.npy,2015/1/1,55.6,101,24.94,18:25:00,P,1
V1CPB00_0.npy,2015/1/1,56.8,98,24.73,18:30:00,P,1
V1CPB00_0.npy,2015/1/1,49.2,117,25.73,18:35:00,P,1
V1CPB00_1.npy,2015/1/1,55.6,82,26.35,18:10:00,P,1
V1CPB00_1.npy,2015/1/1,51.8,85,26.33,18:15:00,P,1
V1CPB00_1.npy,2015/1/1,57.2,75,25.01,18:20:00,P,1
V1CPB00_1.npy,2015/1/1,46.8,80,26.9,18:25:00,P,1
V1CPB00_1.npy,2015/1/1,51.4,92,28.63,18:30:00,P,1
V1CPB00_1.npy,2015/1/1,50.4,80,26.44,18:35:00,P,1
