VD_Name,is_Plane,lane_amount,-10(min),-5(min),Now,5(min),10(min),15(min)
V9211A0_0,False,4,0.0,0.0,0.0,0.0,0.0,0.0
VIKQU50_0,True,2,4.0,0.835,2.0,1.335,2.875,1.8
VWRLS20_1,True,3,0.0,0.0,0.0,0.0,0.0,0.0
VWRLS20_0,True,3,0.0,0.0,0.0,0.0,0.0,0.0
VSWMR40_1,True,2,5.1,3.9,4.8,3.1,4.6,5.2
VSWMR40_0,True,2,8.9,6.6,11.2,9.2,10.6,8.4
V8001H1_0,True,3,2.4,2.06666666667,3.13333333333,2.46666666667,3.2,1.86666666667
VM9QH20_1,True,2,10.5,16.4,19.4,18.5,15.4,12.3
VM9QH20_0,True,2,14.6,9.9,12.7,13.5,15.1,14.8
VIWR760_0,True,3,0.0,0.0,0.0,0.0,0.333333333333,0.666666666667
VIWR760_11,True,3,0.0,0.0,0.0,0.0,0.0,0.0
VZLKH60_1,True,1,1.0,1.0,1.4,1.2,1.0,1.2
VZLKH60_0,True,1,0.2,0.2,0.2,0.2,0.8,0.2
VSGLN60_1,True,1,0.0,0.2,0.0,0.0,0.2,0.0
VSGLN60_0,True,1,9.4,13.0,10.0,13.6,9.8,8.2
VINKW00_0,True,2,0.5,0.6,0.4,0.8,0.6,0.3
V0111C0_0,False,1,0.6,0.6,0.2,0.6,0.6,0.8
VNKIG00_0,True,1,20.2,16.0,13.6,19.8,15.6,18.4
VSDPM60_1,True,1,0.25,3.0,3.2,7.4,4.0,2.2
VSDPM60_0,True,1,0.75,1.5,1.0,0.8,0.6,1.0
VSNVA60_0,True,2,2.1,2.3,1.4,2.5,3.0,2.0
VTHRR20_0,True,2,4.5,3.5,2.5,5.4,3.9,2.5
VL5GL60_0,True,2,49.9,43.4,40.5,33.4,61.6,34.4
VQGFY41_0,True,2,1.4,2.0,1.0,1.6,2.2,1.5
V8001H2_3,True,1,0.0,0.0,0.0,0.0,0.0,0.0
V8001H2_0,True,1,0.0,0.0,0.2,0.4,0.0,0.0
VPLKP40_0,True,2,2.2,2.0,1.9,4.2,2.0,2.6
V6160C1_0,False,2,4.0,5.5,4.0,5.5,4.7,7.0
VCZLY20_0,True,2,1.2,2.2,0.8,1.9,0.9,1.8
