VD_Name,is_Plane,lane_amount,-10(min),-5(min),Now,5(min),10(min),15(min)
V9211A0_0,False,4,0.0,0.0,0.0,0.0,0.0,0.0
VIKQU50_0,True,2,3.0,2.0,3.0,3.0,9.0,7.0
VWRLS20_1,True,3,0.0,0.0,0.0,0.0,0.0,0.0
VWRLS20_0,True,3,0.0,0.0,0.0,0.0,0.0,0.0
VSWMR40_1,True,2,51.0,47.0,52.0,42.0,58.0,48.0
VSWMR40_0,True,2,118.0,93.0,140.0,97.0,134.0,102.0
V8001H1_0,True,3,106.0,89.0,134.0,105.0,128.0,87.0
VM9QH20_1,True,2,398.0,312.0,328.0,333.0,405.0,432.0
VM9QH20_0,True,2,302.0,369.0,430.0,356.0,321.0,365.0
VIWR760_0,True,3,0.0,0.0,0.0,0.0,2.0,2.0
VIWR760_11,True,3,0.0,0.0,0.0,0.0,0.0,0.0
VZLKH60_1,True,1,12.0,11.0,20.0,13.0,11.0,13.0
VZLKH60_0,True,1,7.0,7.0,5.0,6.0,10.0,7.0
VSGLN60_1,True,1,0.0,1.0,0.0,0.0,1.0,0.0
VSGLN60_0,True,1,50.0,83.0,64.0,85.0,60.0,53.0
VINKW00_0,True,2,8.0,12.0,5.0,12.0,9.0,4.0
V0111C0_0,False,1,34.0,43.0,25.0,41.0,36.0,41.0
VNKIG00_0,True,1,47.0,43.0,36.0,43.0,51.0,59.0
VSDPM60_1,True,1,1.0,23.0,31.0,55.0,35.0,23.0
VSDPM60_0,True,1,11.0,20.0,12.0,14.0,4.0,16.0
VSNVA60_0,True,2,25.0,28.0,19.0,35.0,21.0,30.0
VTHRR20_0,True,2,73.0,55.0,43.0,74.0,66.0,42.0
VL5GL60_0,True,2,217.0,97.0,195.0,127.0,198.0,208.0
VQGFY41_0,True,2,12.0,19.0,9.0,17.0,16.0,12.0
V8001H2_3,True,1,0.0,0.0,1.0,0.0,0.0,0.0
V8001H2_0,True,1,1.0,1.0,2.0,2.0,0.0,1.0
VPLKP40_0,True,2,37.0,36.0,31.0,51.0,27.0,34.0
V6160C1_0,False,2,103.0,141.0,123.0,117.0,117.0,109.0
VCZLY20_0,True,2,13.0,27.0,10.0,28.0,11.0,26.0
V6340G0_0,False,2,27.0,19.0,27.0,29.0,31.0,35.0
VINJW00_1,True,3,31.0,41.0,26.0,34.0,24.0,30.0
VINJW00_0,True,3,22.0,17.0,21.0,24.0,14.0,37.0
VP5KR40_0,True,2,23.0,24.0,17.0,31.0,29.0,32.0
VMEKD00_1,True,1,3.0,3.0,2.0,3.0,3.0,4.0
VMEKD00_0,True,1,24.0,23.0,31.0,16.0,35.0,14.0
V6320G0_0,False,2,18.0,25.0,20.0,32.0,32.0,33.0
VN5HV00_1,True,2,21.0,19.0,22.0,29.0,11.0,34.0
VN5HV00_0,True,2,26.0,50.0,37.0,57.0,26.0,42.0
VNLJX20_0,True,3,0.0,0.0,0.0,0.0,0.0,0.0
VQFHC20_1,True,3,69.0,61.0,78.0,85.0,68.0,84.0
VQFHC20_0,True,1,14.0,14.0,11.0,14.0,12.0,20.0
VKNIV20_0,True,2,23.0,25.0,26.0,14.0,24.0,14.0
VTZY920_0,True,2,74.0,62.0,65.0,51.0,72.0,37.0
VN8GX40_0,True,3,10.0,19.0,19.0,22.0,18.0,16.0
VN2C0E1_0,False,2,34.0,21.0,36.0,28.0,23.0,10.0
