VD_Name,is_Plane,lane_amount,-10(min),-5(min),Now,5(min),10(min),15(min)
V9211A0_0,False,4,0.0,0.0,0.0,0.0,0.0,0.0
VIKQU50_0,True,2,5.0,5.0,5.0,5.0,10.5,5.0
VWRLS20_1,True,3,0.0,0.0,0.0,0.0,0.0,0.0
VWRLS20_0,True,3,0.0,0.0,0.0,0.0,0.0,0.0
VSWMR40_1,True,2,42.405,44.09,47.97,47.355,46.725,44.445
VSWMR40_0,True,2,40.465,37.645,33.33,34.5,31.155,33.555
V8001H1_0,True,3,71.07,71.1766666667,69.9433333333,69.5066666667,69.8,72.7566666667
VM9QH20_1,True,2,43.905,51.755,43.38,46.3,51.365,49.405
VM9QH20_0,True,2,36.84,40.235,46.85,36.825,45.01,40.01
VIWR760_0,True,3,0.0,0.0,0.0,0.0,6.33333333333,3.0
VIWR760_11,True,3,0.0,0.0,0.0,0.0,0.0,0.0
VZLKH60_1,True,1,38.17,35.82,42.2,43.92,42.91,40.62
VZLKH60_0,True,1,40.14,36.71,38.2,37.5,41.4,41.43
VSGLN60_1,True,1,0.0,41.0,0.0,0.0,41.0,0.0
VSGLN60_0,True,1,38.06,47.54,48.25,47.51,44.97,48.43
VINKW00_0,True,2,48.5,25.75,44.625,48.055,51.0,21.875
V0111C0_0,False,1,47.06,46.23,47.2,47.29,44.19,46.41
VNKIG00_0,True,1,27.83,33.26,35.92,22.53,44.61,36.8
VSDPM60_1,True,1,44.0,51.52,51.19,47.78,49.2,51.74
VSDPM60_0,True,1,70.0,70.0,70.0,70.0,70.0,70.0
VSNVA60_0,True,2,34.36,35.81,38.165,35.54,35.5,35.775
VTHRR20_0,True,2,38.545,37.48,39.355,39.445,35.25,33.7
VL5GL60_0,True,2,25.42,27.715,34.855,28.135,17.615,32.6
VQGFY41_0,True,2,54.35,73.805,53.25,58.485,46.785,54.135
V8001H2_3,True,1,0.0,0.0,51.0,0.0,0.0,0.0
V8001H2_0,True,1,42.0,42.0,42.0,42.0,0.0,48.0
VPLKP40_0,True,2,46.285,51.83,43.785,40.49,20.61,19.59
V6160C1_0,False,2,53.835,53.415,54.075,52.685,52.615,53.145
VCZLY20_0,True,2,47.05,48.85,52.0,53.48,53.0,53.11
V6340G0_0,False,2,70.02,68.1,64.76,69.295,67.825,69.125
VINJW00_1,True,3,59.23,56.5766666667,56.03,58.4766666667,56.7566666667,59.2566666667
VINJW00_0,True,3,55.3933333333,56.2166666667,38.41,38.6433333333,55.4866666667,57.9166666667
VP5KR40_0,True,2,42.58,40.845,39.2,40.12,40.36,40.835
VMEKD00_1,True,1,61.0,61.0,61.0,61.0,61.0,61.75
VMEKD00_0,True,1,41.46,42.09,41.03,29.75,38.97,39.21
V6320G0_0,False,2,82.49,85.95,82.875,83.355,85.035,86.6
VN5HV00_1,True,2,44.435,42.665,42.61,41.725,19.225,48.25
VN5HV00_0,True,2,51.92,54.035,58.885,54.81,55.695,60.25
VNLJX20_0,True,3,0.0,0.0,0.0,0.0,0.0,0.0
VQFHC20_1,True,3,43.7633333333,43.3733333333,38.8366666667,43.8166666667,46.8966666667,48.52
VQFHC20_0,True,1,44.0,56.36,40.55,35.43,47.0,45.65
VKNIV20_0,True,2,34.595,32.14,31.385,31.715,31.82,33.375
VTZY920_0,True,2,36.455,37.46,35.925,33.91,34.565,37.43
VN8GX40_0,True,3,51.11,49.4866666667,49.3566666667,35.4166666667,38.5466666667,38.4866666667
VN2C0E1_0,False,2,66.0,64.5,69.0,72.5,71.5,64.5
V6150C1_0,False,2,71.945,71.09,71.77,72.945,71.705,73.17
VLRJE00_1,True,1,40.88,40.41,38.82,41.72,38.33,44.27
VLRJE00_0,True,1,42.07,43.29,44.0,44.62,42.54,44.73
VM7PP00_1,True,1,33.21,35.48,27.97,28.17,26.44,34.32
VM7PP00_0,True,1,39.71,40.16,34.48,31.24,32.67,31.82
VKLPX00_1,True,2,0.0,0.0,0.0,0.0,0.0,0.0
VKLPX00_0,True,2,0.0,0.0,0.0,0.0,0.0,0.0
V03C0G1_0,False,2,69.915,68.1,69.915,72.02,67.445,68.35
VJHKR21_1,True,3,48.1866666667,50.2066666667,50.86,48.43,49.2,48.8233333333
VJHKR21_0,True,3,50.4433333333,46.6666666667,54.2166666667,54.5233333333,52.7,49.6933333333
VJUDT20_1,True,2,43.665,40.0,22.835,39.0,39.0,41.875
VJUDT20_0,True,2,30.725,18.0,35.53,35.94,34.835,33.67
VJGN700_1,True,2,25.43,35.16,32.275,26.63,29.73,20.31
VJGN700_0,True,2,37.795,53.695,47.12,43.82,39.785,40.985
VBWQ840_0,True,2,45.11,49.815,53.725,53.835,49.7,57.005
V0140C1_0,False,2,74.3,75.135,73.745,75.12,75.78,73.23
VSVI900_0,True,2,36.645,43.32,40.745,45.105,44.375,42.825
VDYN960_0,True,2,47.335,45.43,49.065,54.0,50.49,51.005
VT9NN00_1,True,2,41.595,44.065,43.64,43.13,42.575,47.805
VT9NN00_0,True,2,48.69,51.53,55.965,52.605,53.995,52.76
VNZM960_0,True,3,35.5733333333,45.6833333333,52.09,55.2366666667,57.48,56.8766666667
VM210E2_0,True,2,62.525,67.585,65.955,57.31,56.6,58.285
VN5HV61_1,True,2,38.225,44.82,45.095,38.14,35.98,39.68
VN5HV61_0,True,1,26.37,27.09,25.05,29.0,27.17,36.03
VF9KB20_0,True,2,39.0,20.5,39.835,41.0,19.61,19.25
V3ZT820_1,True,1,69.57,67.56,67.0,66.13,65.0,64.0
V3ZT820_0,True,1,0.0,0.0,54.0,54.0,54.0,55.0
V2101B0_0,False,1,55.25,53.76,54.28,55.7,54.45,55.28
VIME520_0,True,1,45.67,45.0,45.0,43.5,45.0,41.0
VGBBW20_0,True,2,50.04,52.765,45.01,41.315,46.025,44.215
VGKCG60_1,True,2,60.0,25.5,26.645,26.75,26.9,63.44
VGKCG60_0,True,2,50.4,48.41,47.5,51.205,59.79,60.655
VLNX920_1,True,2,57.505,55.28,51.63,53.16,54.02,53.36
VLNX920_0,True,2,63.0,63.765,66.0,66.415,66.5,67.665
VNKIG40_0,True,1,31.1,35.48,33.88,38.23,29.79,34.72
VL6RM20_1,True,1,29.49,36.27,31.03,34.73,32.64,26.69
VL6RM20_0,True,1,44.13,43.55,45.0,43.36,41.68,47.64
V3132C0_0,False,2,60.9,66.5,64.625,71.975,66.5,50.25
VKXRL60_1,True,2,20.0,25.695,28.325,29.26,28.155,36.465
V9010A0_0,False,2,77.68,70.1,71.035,68.245,71.44,65.335
VHKPV60_0,True,3,11.3666666667,19.19,24.9066666667,22.6266666667,26.9366666667,4.0
VMEKQ41_0,True,2,34.84,33.105,31.6,34.38,36.615,35.945
VJHML20_0,True,3,51.1866666667,49.9666666667,49.12,51.4233333333,49.8433333333,50.1866666667
VFYKD40_1,True,3,0.0,15.3333333333,0.0,0.0,15.3333333333,0.0
VFYKD40_0,True,3,11.0,23.3333333333,23.3333333333,24.0,23.8333333333,11.6666666667
VPBTD70_0,True,4,43.8775,44.16,44.4475,45.725,50.9075,50.845
VJVRL40_0,True,3,0.0,0.0,0.0,6.66666666667,6.66666666667,6.66666666667
VHSH560_0,True,2,48.18,52.585,53.515,51.39,49.04,49.975
VLPN800_0,True,2,57.7,60.11,59.035,56.57,62.565,54.36
VLMG600_1,True,1,43.5,43.1,43.77,45.43,43.23,43.92
VLMG600_0,True,1,42.14,43.2,42.09,44.83,44.5,44.29
VHPBV00_1,True,1,39.29,46.71,46.14,41.89,48.29,42.75
VHPBV00_0,True,1,43.44,42.22,47.0,42.13,45.1,44.89
VGSGF00_1,True,2,49.39,48.245,48.085,47.725,50.175,47.78
VGSGF00_0,True,2,45.97,46.705,45.135,44.18,45.085,45.97
VN0C0E0_0,False,1,49.03,51.0,49.39,52.32,51.0,51.39
V42E2E0_0,False,2,18.0,20.75,21.0,16.165,20.0,20.665
V6160C0_0,False,2,60.85,59.785,60.63,61.24,61.215,59.99
V2110C0_0,False,2,71.8,73.995,73.07,73.28,73.65,71.96
V6350G0_0,False,2,77.125,72.565,73.325,78.905,75.73,78.3
V56BU20_0,True,3,44.07,44.7466666667,46.3566666667,44.9733333333,46.9966666667,44.3533333333
VJM4U00_0,True,1,32.0,32.36,33.67,35.0,34.07,36.0
VGKCG20_0,True,2,51.78,51.725,50.505,49.105,51.115,52.645
VT5QV00_1,True,2,70.0,70.0,35.0,70.0,70.0,70.0
VT5QV00_0,True,2,70.0,70.0,70.0,70.0,70.0,70.0
V2130C0_0,False,1,0.0,0.0,0.0,0.0,0.0,0.0
VLXFX20_0,True,2,36.575,37.855,38.01,40.69,39.38,35.56
V4270C0_0,False,2,56.875,57.075,57.795,57.965,57.415,57.98
V42C0E0_0,False,3,42.3166666667,43.87,41.7866666667,42.4666666667,42.3133333333,43.0566666667
V2321G0_0,False,1,48.48,49.34,46.64,50.65,50.1,48.96
V52C2E0_0,False,1,36.63,34.91,35.9,36.65,36.53,38.57
VK8LT20_0,True,2,42.055,45.405,48.445,48.145,48.42,50.425
VLGGY60_1,True,1,36.83,34.7,36.85,37.86,38.33,38.56
VLGGY60_0,True,1,46.5,43.45,43.61,45.92,43.55,45.21
VSJJX20_1,True,1,47.4,49.0,50.82,51.31,50.87,49.42
VSJJX20_0,True,1,53.47,50.89,47.71,47.51,35.4,33.2
V2311G0_0,False,1,31.0,33.25,27.5,29.67,30.14,29.8
VV9IP40_0,True,1,39.71,38.83,41.32,40.63,41.96,41.31
VU8EF40_0,True,4,61.22,60.205,61.78,60.6525,62.3,61.84
VL9SB00_1,True,2,35.24,39.39,61.705,37.91,26.9,7.59
VL9SB00_0,True,4,33.005,34.61,34.63,34.705,35.205,34.5175
V1260E0_0,False,3,53.0833333333,61.02,59.4633333333,59.9966666667,52.6133333333,60.5333333333
VT9FV00_1,True,3,44.0366666667,44.0466666667,44.0166666667,42.6566666667,42.8166666667,44.77
VT9FV00_0,True,3,46.05,43.7666666667,46.3866666667,45.16,45.6433333333,46.1233333333
V8220E2_0,False,3,57.1733333333,57.63,57.5066666667,59.13,59.9166666667,58.4566666667
VIDDL00_1,True,1,45.4,25.67,44.0,43.0,43.22,45.79
VIDDL00_0,True,1,43.3,44.31,45.75,48.2,46.38,48.88
V5B2R60_0,True,3,63.24,63.2166666667,62.0433333333,61.54,60.0433333333,59.9166666667
VHPEB20_1,True,2,56.395,55.93,59.285,60.33,60.5,63.47
VHPEB20_0,True,2,43.0,43.465,45.25,46.02,48.315,49.055
VMCN800_0,True,2,53.98,57.665,52.87,57.385,54.72,32.585
V1001B0_0,False,2,38.5,32.5,29.5,0.0,31.0,28.5
VVVGB40_1,True,4,50.9125,51.055,50.125,51.5,51.0275,50.25
VVVGB40_0,True,2,70.0,70.0,70.0,70.0,70.0,70.0
V6160C6_0,False,2,54.81,54.835,53.935,54.97,55.16,56.035
V6180A0_0,False,2,0.0,0.0,0.0,0.0,0.0,0.0
V1VJK40_0,False,3,64.1033333333,59.6766666667,63.16,45.0933333333,42.3733333333,35.04
VQGFY00_1,True,3,48.9333333333,48.35,46.7166666667,32.5233333333,42.79,49.0266666667
VQGFY00_0,True,3,45.28,45.05,46.02,45.8733333333,40.94,46.1433333333
V2ZUI60_0,True,2,47.275,50.5,50.5,51.535,49.18,47.835
VGLKW40_0,True,1,18.53,21.5,18.41,20.71,20.59,23.66
V6141E0_0,False,1,49.92,51.78,56.74,51.14,53.43,54.6
V1001A0_0,False,2,50.885,51.0,46.82,47.93,46.61,46.885
VVCGQ40_0,True,3,69.7966666667,69.77,69.9333333333,70.0,69.8633333333,70.0
V8250E1_0,True,3,67.0733333333,69.0166666667,66.9733333333,68.46,70.16,73.8966666667
VP8GX00_1,True,3,54.0,54.0,53.6666666667,40.5,53.3333333333,40.3333333333
VP8GX00_0,True,3,64.0,61.0166666667,61.6266666667,41.9866666667,57.7,59.31
V1221E0_0,False,1,43.45,41.57,45.12,38.91,43.4,43.47
VTTIF00_1,True,3,65.8766666667,73.8233333333,72.5366666667,68.9033333333,70.73,69.0833333333
VTTIF00_0,True,2,57.535,60.09,60.575,59.925,60.175,57.255
V12F2E0_0,False,1,47.91,48.56,48.86,47.92,49.16,47.88
VSGRX60_1,True,2,43.0,43.5,39.0,40.5,40.0,35.5
VSGRX60_0,True,2,47.0,44.0,47.0,46.5,44.5,47.5
VIPIZ60_2,True,1,0.0,0.0,0.0,0.0,0.0,0.0
VIPIZ60_0,True,3,0.0,0.0,0.0,0.0,0.0,0.0
V8030A0_0,False,3,74.9266666667,74.25,75.8366666667,75.3,73.81,75.0
VJCTT20_0,True,2,42.365,38.22,40.855,51.735,51.805,37.345
VLRJX00_1,True,3,58.99,60.6133333333,59.0366666667,60.7233333333,61.02,59.8533333333
VLRJX00_0,True,3,56.1966666667,53.1166666667,55.4966666667,51.9766666667,33.16,56.97
VFYKD01_1,True,3,64.2766666667,62.1733333333,62.1966666667,64.62,63.3666666667,66.63
VFYKD01_0,True,3,58.64,61.43,60.9666666667,60.4666666667,61.0266666667,62.76
V4090H0_0,False,3,61.66,64.4166666667,70.77,69.3533333333,62.64,68.5566666667
VK7KP40_0,True,1,25.78,28.27,24.76,20.36,24.96,24.84
VMEJW40_1,True,2,54.205,53.37,25.655,50.39,29.035,26.76
VMEJW40_0,True,2,37.27,31.815,30.015,31.825,33.57,30.965
VIVS602_2,True,3,0.0,0.0,0.0,0.0,0.0,0.0
VIVS602_0,True,3,0.0,0.0,0.0,0.0,0.0,0.0
VL7SU60_0,True,2,51.785,62.46,57.445,60.515,58.48,57.72
VHZC820_1,True,2,44.795,47.625,40.905,36.245,38.605,42.155
VHZC820_0,True,2,47.9,45.385,48.26,50.59,46.765,49.62
V5B2R20_0,True,3,44.9933333333,45.2433333333,46.1766666667,44.8566666667,44.7466666667,44.7533333333
VPHKR40_0,True,2,45.265,46.035,43.825,46.93,45.585,47.145
VIGHK20_1,True,3,34.6666666667,34.6666666667,35.3333333333,18.0,35.8333333333,36.0
VIGHK20_0,True,1,34.71,33.33,33.0,0.26,33.0,33.0
V12D2E0_0,False,1,66.31,61.95,64.9,60.92,57.36,65.38
VM6GJ00_1,True,2,0.0,0.0,0.0,0.0,0.0,0.0
VM6GJ00_0,True,2,41.545,40.955,42.71,42.87,41.335,40.325
VN5IG00_0,True,1,36.82,29.83,32.2,32.03,30.06,27.25
V52C0E0_0,False,2,73.235,72.56,70.65,72.165,66.43,70.95
VIKPW61_0,True,2,0.0,0.0,0.0,0.0,0.0,0.0
V4291E0_0,False,1,36.66,36.93,37.0,37.26,37.06,37.65
VGIA660_0,False,2,43.2,25.0,46.735,49.57,49.095,48.375
V1220E0_0,False,2,31.15,25.75,27.345,29.095,27.835,29.09
V2330G0_0,False,2,62.94,65.18,63.295,64.23,61.335,61.245
V1241E0_0,False,2,37.04,37.11,36.82,39.145,37.755,37.635
V6110C0_0,False,2,65.69,64.71,67.575,66.405,63.71,65.935
VG7EQ00_1,True,1,0.0,0.0,0.0,0.0,0.0,0.0
VG7EQ00_0,True,1,0.0,0.0,0.0,0.0,0.0,0.0
VSNRE00_1,True,1,37.75,41.36,38.67,35.31,34.0,36.45
VSNRE00_0,True,1,39.47,40.0,40.22,41.86,45.5,47.0
