VD_Name,latitude,longitude
V9211A0_0,25.0326,121.56871
VIKQU50_0,25.039687,121.56357
VWRLS20_1,25.097081,121.54097
VWRLS20_0,25.097081,121.54096
VSWMR40_1,25.080036,121.54582
VSWMR40_0,25.080036,121.54581
V8001H1_0,25.08857,121.50322
VM9QH20_1,25.053851,121.55892
VM9QH20_0,25.053851,121.55891
VIWR760_0,25.039187,121.56443
VIWR760_11,25.039187,121.56454000000001
VZLKH60_1,25.110573,121.53722
VZLKH60_0,25.110573,121.53721
VSGLN60_1,25.077681,121.54294
VSGLN60_0,25.077681,121.54293
VINKW00_0,25.036522,121.5383
V0111C0_0,25.05044,121.50802
VNKIG00_0,25.059436,121.52543
VSDPM60_1,25.076159,121.56157
VSDPM60_0,25.076159,121.56156
VSNVA60_0,25.078539,121.58007
VTHRR20_0,25.082103,121.56684
VL5GL60_0,25.048525,121.51903
VQGFY41_0,25.071176,121.51354
V8001H2_3,25.08982,121.50242999999999
V8001H2_0,25.08982,121.5024
VPLKP40_0,25.066549,121.53563
V6160C1_0,25.06096,121.59117
VCZLY20_0,25.015823,121.54251
V6340G0_0,25.05873,121.58427
VINJW00_1,25.035664,121.53319
VINJW00_0,25.035664,121.53318
VP5KR40_0,25.05944,121.53671
VMEKD00_1,25.05466,121.53558000000001
VMEKD00_0,25.05466,121.53557
V6320G0_0,25.05841,121.59809
VN5HV00_1,25.055344,121.52266
VN5HV00_0,25.055344,121.52265
VNLJX20_0,25.060296,121.5323
VQFHC20_1,25.068416,121.52106
VQFHC20_0,25.068416,121.52105
VKNIV20_0,25.046899,121.52692
VTZY920_0,25.084652,121.59872
VN8GX40_0,25.059461,121.5181
VN2C0E1_0,25.053373,121.52758
V6150C1_0,25.058623,121.58438
VLRJE00_1,25.053741,121.52998000000001
VLRJE00_0,25.053741,121.52997
VM7PP00_1,25.054603,121.55591
VM7PP00_0,25.054603,121.5559
VKLPX00_1,25.046498,121.55763
VKLPX00_0,25.046498,121.55762
V03C0G1_0,25.0454,121.53317
VJHKR21_1,25.041577,121.53841
VJHKR21_0,25.041577,121.5384
VJUDT20_1,25.04305,121.50186000000001
VJUDT20_0,25.04305,121.50185
VJGN700_1,25.039789,121.54846
VJGN700_0,25.039789,121.54845
VBWQ840_0,25.011902,121.5551
V0140C1_0,25.04449,121.54118
VSVI900_0,25.076999,121.52539
VDYN960_0,25.016384,121.54954
VT9NN00_1,25.081787,121.551
VT9NN00_0,25.081787,121.55099
VNZM960_0,25.062022,121.55416
